1. Using architecture PEs=4, L1=16, L2=128
    10. Model manual with 3 layers: 3.211e+00
    11. Model shufflenet_v2 with 56 layers: 8.459e+00
    12. Model squeezenet with 26 layers: 1.056e+01
    13. Model try with 3 layers: 4.966e+00
    14. Model resnet18 with 20 layers: 9.990e+00
    15. Model vgg16 with 13 layers: 9.780e+00
    16. Model densenet with 160 layers: 8.049e+00
    17. Model T5_m with 6 layers: 2.990e+00
    18. Model resnext50_32x4d with 53 layers: 8.205e+00
    19. Model BERT_m with 6 layers: 1.410e+00
    20. Model ALBERT_m with 5 layers: 4.285e+00

Final result with all models and fixed hardware = 7.4493668958051416

127. Using architecture PEs=256, L1=32, L2=256
    1. Model mnasnet with 52 layers: 1.515e+01
    2. Model ncf_m with 12 layers: 4.975e+00
    3. Model mobilenet_v2 with 52 layers: 1.428e+01
    4. Model googlenet with 59 layers: 1.521e+01
    5. Model dlrmRMC1_m with 6 layers: 7.057e+00
    6. Model alexnet with 5 layers: 9.185e+00
    7. Model transformer with 96 layers: 8.755e+00
    8. Model resnet50 with 53 layers: 1.642e+01
    9. Model wide_resnet50 with 53 layers: 1.571e+01
    10. Model manual with 3 layers: 1.996e+01
    11. Model shufflenet_v2 with 56 layers: 1.604e+01
    12. Model squeezenet with 26 layers: 2.218e+01
    13. Model try with 3 layers: 9.708e+00
    14. Model resnet18 with 20 layers: 1.872e+01
    15. Model vgg16 with 13 layers: 1.585e+01
    16. Model densenet with 160 layers: 1.707e+01
    17. Model T5_m with 6 layers: 7.136e+00
    18. Model resnext50_32x4d with 53 layers: 1.480e+01
    19. Model BERT_m with 6 layers: 9.437e+00
    20. Model ALBERT_m with 5 layers: 1.476e+01

Final result with all models and fixed hardware = 14.821966294993235

128. Using architecture PEs=256, L1=32, L2=512
    1. Model mnasnet with 52 layers: 3.537e+01
    2. Model ncf_m with 12 layers: 2.813e+01
    3. Model mobilenet_v2 with 52 layers: 3.055e+01
    4. Model googlenet with 59 layers: 3.444e+01
    5. Model dlrmRMC1_m with 6 layers: 2.113e+01
    6. Model alexnet with 5 layers: 2.419e+01
    7. Model transformer with 96 layers: 1.976e+01
    8. Model resnet50 with 53 layers: 3.376e+01
    9. Model wide_resnet50 with 53 layers: 2.913e+01
    10. Model manual with 3 layers: 4.486e+01
    11. Model shufflenet_v2 with 56 layers: 3.426e+01
    12. Model squeezenet with 26 layers: 3.225e+01
    13. Model try with 3 layers: 1.949e+01
    14. Model resnet18 with 20 layers: 3.276e+01
    15. Model vgg16 with 13 layers: 3.463e+01
    16. Model densenet with 160 layers: 2.849e+01
    17. Model T5_m with 6 layers: 3.170e+01
    18. Model resnext50_32x4d with 53 layers: 3.158e+01
    19. Model BERT_m with 6 layers: 3.773e+01
    20. Model ALBERT_m with 5 layers: 2.388e+01

Final result with all models and fixed hardware = 29.90418217185386

129. Using architecture PEs=256, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 5.269e+01
    2. Model ncf_m with 12 layers: 5.161e+01
    3. Model mobilenet_v2 with 52 layers: 4.758e+01
    4. Model googlenet with 59 layers: 6.512e+01
    5. Model dlrmRMC1_m with 6 layers: 3.259e+01
    6. Model alexnet with 5 layers: 7.546e+01
    7. Model transformer with 96 layers: 3.126e+01
    8. Model resnet50 with 53 layers: 5.683e+01
    9. Model wide_resnet50 with 53 layers: 5.380e+01
    10. Model manual with 3 layers: 4.693e+01
    11. Model shufflenet_v2 with 56 layers: 6.265e+01
    12. Model squeezenet with 26 layers: 7.128e+01
    13. Model try with 3 layers: 3.282e+01
    14. Model resnet18 with 20 layers: 6.448e+01
    15. Model vgg16 with 13 layers: 5.338e+01
    16. Model densenet with 160 layers: 7.040e+01
    17. Model T5_m with 6 layers: 6.030e+01
    18. Model resnext50_32x4d with 53 layers: 5.260e+01
    19. Model BERT_m with 6 layers: 2.509e+01
    20. Model ALBERT_m with 5 layers: 1.599e+01

Final result with all models and fixed hardware = 55.94327426116374

130. Using architecture PEs=256, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 9.677e+01
    2. Model ncf_m with 12 layers: 9.852e+01
    3. Model mobilenet_v2 with 52 layers: 8.892e+01
    4. Model googlenet with 59 layers: 8.941e+01
    5. Model dlrmRMC1_m with 6 layers: 8.048e+01
    6. Model alexnet with 5 layers: 7.900e+01
    7. Model transformer with 96 layers: 1.153e+02
    8. Model resnet50 with 53 layers: 1.030e+02
    9. Model wide_resnet50 with 53 layers: 1.111e+02
    10. Model manual with 3 layers: 6.722e+01
    11. Model shufflenet_v2 with 56 layers: 8.495e+01
    12. Model squeezenet with 26 layers: 8.836e+01
    13. Model try with 3 layers: 1.035e+02
    14. Model resnet18 with 20 layers: 9.695e+01
    15. Model vgg16 with 13 layers: 1.014e+02
    16. Model densenet with 160 layers: 9.813e+01
    17. Model T5_m with 6 layers: 1.337e+02
    18. Model resnext50_32x4d with 53 layers: 1.099e+02
    19. Model BERT_m with 6 layers: 1.280e+02
    20. Model ALBERT_m with 5 layers: 1.107e+02

Final result with all models and fixed hardware = 99.97706137753718

131. Using architecture PEs=256, L1=64, L2=128
    1. Model mnasnet with 52 layers: 7.884e+00
    2. Model ncf_m with 12 layers: 3.788e+00
    3. Model mobilenet_v2 with 52 layers: 8.444e+00
    4. Model googlenet with 59 layers: 8.932e+00
    5. Model dlrmRMC1_m with 6 layers: 5.450e+00
    6. Model alexnet with 5 layers: 8.950e+00
    7. Model transformer with 96 layers: 3.997e+00
    8. Model resnet50 with 53 layers: 8.693e+00
    9. Model wide_resnet50 with 53 layers: 7.950e+00
    10. Model manual with 3 layers: 3.076e+00
    11. Model shufflenet_v2 with 56 layers: 9.121e+00
    12. Model squeezenet with 26 layers: 1.034e+01
    13. Model try with 3 layers: 5.926e+00
    14. Model resnet18 with 20 layers: 1.051e+01
    15. Model vgg16 with 13 layers: 8.668e+00
    16. Model densenet with 160 layers: 7.936e+00
    17. Model T5_m with 6 layers: 3.089e+00
    18. Model resnext50_32x4d with 53 layers: 7.558e+00
    19. Model BERT_m with 6 layers: 4.360e+00
    20. Model ALBERT_m with 5 layers: 3.397e+00

Final result with all models and fixed hardware = 7.6130927821380245

132. Using architecture PEs=256, L1=64, L2=256
    1. Model mnasnet with 52 layers: 1.490e+01
    2. Model ncf_m with 12 layers: 7.746e+00
    3. Model mobilenet_v2 with 52 layers: 1.464e+01
    4. Model googlenet with 59 layers: 1.491e+01
    5. Model dlrmRMC1_m with 6 layers: 1.360e+01
    6. Model alexnet with 5 layers: 2.297e+01
    7. Model transformer with 96 layers: 9.859e+00
    8. Model resnet50 with 53 layers: 1.546e+01
    9. Model wide_resnet50 with 53 layers: 1.685e+01
    10. Model manual with 3 layers: 2.183e+01
    11. Model shufflenet_v2 with 56 layers: 1.418e+01
    12. Model squeezenet with 26 layers: 1.873e+01
    13. Model try with 3 layers: 3.833e+00
    14. Model resnet18 with 20 layers: 2.058e+01
    15. Model vgg16 with 13 layers: 1.814e+01
    16. Model densenet with 160 layers: 1.726e+01
    17. Model T5_m with 6 layers: 8.509e+00
    18. Model resnext50_32x4d with 53 layers: 1.628e+01
    19. Model BERT_m with 6 layers: 1.081e+01
    20. Model ALBERT_m with 5 layers: 1.169e+01

Final result with all models and fixed hardware = 15.112812733423548

133. Using architecture PEs=256, L1=64, L2=512
    1. Model mnasnet with 52 layers: 3.440e+01
    2. Model ncf_m with 12 layers: 1.615e+01
    3. Model mobilenet_v2 with 52 layers: 2.958e+01
    4. Model googlenet with 59 layers: 3.540e+01
    5. Model dlrmRMC1_m with 6 layers: 2.678e+01
    6. Model alexnet with 5 layers: 1.866e+01
    7. Model transformer with 96 layers: 1.842e+01
    8. Model resnet50 with 53 layers: 2.587e+01
    9. Model wide_resnet50 with 53 layers: 2.685e+01
    10. Model manual with 3 layers: 3.867e+01
    11. Model shufflenet_v2 with 56 layers: 3.588e+01
    12. Model squeezenet with 26 layers: 3.344e+01
    13. Model try with 3 layers: 2.152e+01
    14. Model resnet18 with 20 layers: 3.446e+01
    15. Model vgg16 with 13 layers: 2.238e+01
    16. Model densenet with 160 layers: 2.631e+01
    17. Model T5_m with 6 layers: 3.471e+00
    18. Model resnext50_32x4d with 53 layers: 2.702e+01
    19. Model BERT_m with 6 layers: 1.215e+01
    20. Model ALBERT_m with 5 layers: 1.199e+01

Final result with all models and fixed hardware = 27.416938177266577

134. Using architecture PEs=256, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 5.558e+01
    2. Model ncf_m with 12 layers: 5.547e+01
    3. Model mobilenet_v2 with 52 layers: 5.361e+01
    4. Model googlenet with 59 layers: 6.279e+01
    5. Model dlrmRMC1_m with 6 layers: 3.379e+01
    6. Model alexnet with 5 layers: 7.303e+01
    7. Model transformer with 96 layers: 3.409e+01
    8. Model resnet50 with 53 layers: 5.452e+01
    9. Model wide_resnet50 with 53 layers: 5.241e+01
    10. Model manual with 3 layers: 3.534e+01
    11. Model shufflenet_v2 with 56 layers: 6.333e+01
    12. Model squeezenet with 26 layers: 5.370e+01
    13. Model try with 3 layers: 3.233e+01
    14. Model resnet18 with 20 layers: 4.427e+01
    15. Model vgg16 with 13 layers: 4.596e+01
    16. Model densenet with 160 layers: 6.978e+01
    17. Model T5_m with 6 layers: 2.363e+01
    18. Model resnext50_32x4d with 53 layers: 4.749e+01
    19. Model BERT_m with 6 layers: 1.637e+01
    20. Model ALBERT_m with 5 layers: 1.149e+01

Final result with all models and fixed hardware = 54.34966520433017

135. Using architecture PEs=256, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 9.127e+01
    2. Model ncf_m with 12 layers: 1.003e+02
    3. Model mobilenet_v2 with 52 layers: 9.093e+01
    4. Model googlenet with 59 layers: 8.686e+01
    5. Model dlrmRMC1_m with 6 layers: 8.640e+01
    6. Model alexnet with 5 layers: 9.979e+01
    7. Model transformer with 96 layers: 1.117e+02
    8. Model resnet50 with 53 layers: 1.110e+02
    9. Model wide_resnet50 with 53 layers: 1.112e+02
    10. Model manual with 3 layers: 8.344e+01
    11. Model shufflenet_v2 with 56 layers: 8.737e+01
    12. Model squeezenet with 26 layers: 9.030e+01
    13. Model try with 3 layers: 5.732e+01
    14. Model resnet18 with 20 layers: 1.011e+02
    15. Model vgg16 with 13 layers: 1.118e+02
    16. Model densenet with 160 layers: 9.063e+01
    17. Model T5_m with 6 layers: 1.328e+02
    18. Model resnext50_32x4d with 53 layers: 1.068e+02
    19. Model BERT_m with 6 layers: 1.267e+02
    20. Model ALBERT_m with 5 layers: 1.072e+02

Final result with all models and fixed hardware = 98.38153140730714

136. Using architecture PEs=256, L1=128, L2=128
    1. Model mnasnet with 52 layers: 7.492e+00
    2. Model ncf_m with 12 layers: 4.158e+00
    3. Model mobilenet_v2 with 52 layers: 8.679e+00
    4. Model googlenet with 59 layers: 8.628e+00
    5. Model dlrmRMC1_m with 6 layers: 4.552e+00
    6. Model alexnet with 5 layers: 9.410e+00
    7. Model transformer with 96 layers: 3.465e+00
    8. Model resnet50 with 53 layers: 9.165e+00
    9. Model wide_resnet50 with 53 layers: 7.980e+00
    10. Model manual with 3 layers: 1.244e+01
    11. Model shufflenet_v2 with 56 layers: 8.369e+00
    12. Model squeezenet with 26 layers: 1.129e+01
    13. Model try with 3 layers: 4.775e+00
    14. Model resnet18 with 20 layers: 8.326e+00
    15. Model vgg16 with 13 layers: 7.836e+00
    16. Model densenet with 160 layers: 8.489e+00
    17. Model T5_m with 6 layers: 4.029e+00
    18. Model resnext50_32x4d with 53 layers: 7.945e+00
    19. Model BERT_m with 6 layers: 2.821e+00
    20. Model ALBERT_m with 5 layers: 5.177e+00

Final result with all models and fixed hardware = 7.637688620433018

137. Using architecture PEs=256, L1=128, L2=256
    1. Model mnasnet with 52 layers: 1.427e+01
    2. Model ncf_m with 12 layers: 4.206e+00
    3. Model mobilenet_v2 with 52 layers: 1.652e+01
    4. Model googlenet with 59 layers: 1.448e+01
    5. Model dlrmRMC1_m with 6 layers: 1.480e+01
    6. Model alexnet with 5 layers: 5.763e+00
    7. Model transformer with 96 layers: 9.488e+00
    8. Model resnet50 with 53 layers: 1.855e+01
    9. Model wide_resnet50 with 53 layers: 1.627e+01
    10. Model manual with 3 layers: 2.166e+01
    11. Model shufflenet_v2 with 56 layers: 1.446e+01
    12. Model squeezenet with 26 layers: 2.144e+01
    13. Model try with 3 layers: 1.701e+01
    14. Model resnet18 with 20 layers: 1.636e+01
    15. Model vgg16 with 13 layers: 1.744e+01
    16. Model densenet with 160 layers: 1.667e+01
    17. Model T5_m with 6 layers: 1.432e+01
    18. Model resnext50_32x4d with 53 layers: 1.490e+01
    19. Model BERT_m with 6 layers: 9.087e+00
    20. Model ALBERT_m with 5 layers: 1.380e+01

Final result with all models and fixed hardware = 14.998425649526386

138. Using architecture PEs=256, L1=128, L2=512
    1. Model mnasnet with 52 layers: 3.231e+01
    2. Model ncf_m with 12 layers: 2.729e+01
    3. Model mobilenet_v2 with 52 layers: 3.013e+01
    4. Model googlenet with 59 layers: 3.307e+01
    5. Model dlrmRMC1_m with 6 layers: 2.752e+01
    6. Model alexnet with 5 layers: 2.688e+01
    7. Model transformer with 96 layers: 1.894e+01
    8. Model resnet50 with 53 layers: 2.751e+01
    9. Model wide_resnet50 with 53 layers: 3.206e+01
    10. Model manual with 3 layers: 4.147e+01
    11. Model shufflenet_v2 with 56 layers: 3.307e+01
    12. Model squeezenet with 26 layers: 3.466e+01
    13. Model try with 3 layers: 2.368e+01
    14. Model resnet18 with 20 layers: 2.891e+01
    15. Model vgg16 with 13 layers: 2.739e+01
    16. Model densenet with 160 layers: 3.052e+01
    17. Model T5_m with 6 layers: 1.738e+01
    18. Model resnext50_32x4d with 53 layers: 2.388e+01
    19. Model BERT_m with 6 layers: 2.525e+01
    20. Model ALBERT_m with 5 layers: 1.739e+01

Final result with all models and fixed hardware = 28.65316378619757

139. Using architecture PEs=256, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 5.925e+01
    2. Model ncf_m with 12 layers: 4.041e+01
    3. Model mobilenet_v2 with 52 layers: 5.871e+01
    4. Model googlenet with 59 layers: 5.443e+01
    5. Model dlrmRMC1_m with 6 layers: 3.087e+01
    6. Model alexnet with 5 layers: 5.729e+01
    7. Model transformer with 96 layers: 3.039e+01
    8. Model resnet50 with 53 layers: 4.963e+01
    9. Model wide_resnet50 with 53 layers: 5.032e+01
    10. Model manual with 3 layers: 2.933e+01
    11. Model shufflenet_v2 with 56 layers: 6.663e+01
    12. Model squeezenet with 26 layers: 7.311e+01
    13. Model try with 3 layers: 1.110e+01
    14. Model resnet18 with 20 layers: 5.064e+01
    15. Model vgg16 with 13 layers: 5.168e+01
    16. Model densenet with 160 layers: 7.360e+01
    17. Model T5_m with 6 layers: 1.706e+01
    18. Model resnext50_32x4d with 53 layers: 4.863e+01
    19. Model BERT_m with 6 layers: 1.776e+01
    20. Model ALBERT_m with 5 layers: 1.062e+01

Final result with all models and fixed hardware = 54.897416400541275

140. Using architecture PEs=256, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 8.970e+01
    2. Model ncf_m with 12 layers: 9.166e+01
    3. Model mobilenet_v2 with 52 layers: 9.065e+01
    4. Model googlenet with 59 layers: 9.559e+01
    5. Model dlrmRMC1_m with 6 layers: 7.616e+01
    6. Model alexnet with 5 layers: 1.124e+02
    7. Model transformer with 96 layers: 1.245e+02
    8. Model resnet50 with 53 layers: 1.104e+02
    9. Model wide_resnet50 with 53 layers: 1.024e+02
    10. Model manual with 3 layers: 9.546e+01
    11. Model shufflenet_v2 with 56 layers: 8.022e+01
    12. Model squeezenet with 26 layers: 9.513e+01
    13. Model try with 3 layers: 9.189e+01
    14. Model resnet18 with 20 layers: 1.102e+02
    15. Model vgg16 with 13 layers: 1.114e+02
    16. Model densenet with 160 layers: 9.257e+01
    17. Model T5_m with 6 layers: 1.214e+02
    18. Model resnext50_32x4d with 53 layers: 1.021e+02
    19. Model BERT_m with 6 layers: 1.067e+02
    20. Model ALBERT_m with 5 layers: 1.373e+02

Final result with all models and fixed hardware = 99.89313702300406

141. Using architecture PEs=512, L1=16, L2=128
    1. Model mnasnet with 52 layers: 8.373e+00
    2. Model ncf_m with 12 layers: 3.931e+00
    3. Model mobilenet_v2 with 52 layers: 8.658e+00
    4. Model googlenet with 59 layers: 9.088e+00
    5. Model dlrmRMC1_m with 6 layers: 7.421e+00
    6. Model alexnet with 5 layers: 7.696e+00
    7. Model transformer with 96 layers: 3.771e+00
    8. Model resnet50 with 53 layers: 8.734e+00
    9. Model wide_resnet50 with 53 layers: 9.294e+00
    10. Model manual with 3 layers: 5.255e+00
    11. Model shufflenet_v2 with 56 layers: 9.065e+00
    12. Model squeezenet with 26 layers: 1.108e+01
    13. Model try with 3 layers: 9.082e+00
    14. Model resnet18 with 20 layers: 9.406e+00
    15. Model vgg16 with 13 layers: 7.355e+00
    16. Model densenet with 160 layers: 8.275e+00
    17. Model T5_m with 6 layers: 3.265e+00
    18. Model resnext50_32x4d with 53 layers: 7.867e+00
    19. Model BERT_m with 6 layers: 3.540e+00
    20. Model ALBERT_m with 5 layers: 3.981e+00

Final result with all models and fixed hardware = 7.839803324763193

142. Using architecture PEs=512, L1=16, L2=256
    1. Model mnasnet with 52 layers: 1.405e+01
    2. Model ncf_m with 12 layers: 1.370e+01
    3. Model mobilenet_v2 with 52 layers: 1.453e+01
    4. Model googlenet with 59 layers: 1.682e+01
    5. Model dlrmRMC1_m with 6 layers: 1.177e+01
    6. Model alexnet with 5 layers: 1.649e+01
    7. Model transformer with 96 layers: 8.254e+00
    8. Model resnet50 with 53 layers: 1.531e+01
    9. Model wide_resnet50 with 53 layers: 1.543e+01
    10. Model manual with 3 layers: 1.960e+01
    11. Model shufflenet_v2 with 56 layers: 1.504e+01
    12. Model squeezenet with 26 layers: 2.323e+01
    13. Model try with 3 layers: 1.093e+01
    14. Model resnet18 with 20 layers: 1.686e+01
    15. Model vgg16 with 13 layers: 1.832e+01
    16. Model densenet with 160 layers: 1.696e+01
    17. Model T5_m with 6 layers: 1.574e+01
    18. Model resnext50_32x4d with 53 layers: 1.415e+01
    19. Model BERT_m with 6 layers: 9.082e+00
    20. Model ALBERT_m with 5 layers: 1.813e+01

Final result with all models and fixed hardware = 14.930658740189447

143. Using architecture PEs=512, L1=16, L2=512
    1. Model mnasnet with 52 layers: 3.077e+01
    2. Model ncf_m with 12 layers: 2.475e+01
    3. Model mobilenet_v2 with 52 layers: 2.773e+01
    4. Model googlenet with 59 layers: 3.251e+01
    5. Model dlrmRMC1_m with 6 layers: 2.516e+01
    6. Model alexnet with 5 layers: 2.589e+01
    7. Model transformer with 96 layers: 1.782e+01
    8. Model resnet50 with 53 layers: 2.737e+01
    9. Model wide_resnet50 with 53 layers: 2.543e+01
    10. Model manual with 3 layers: 4.559e+01
    11. Model shufflenet_v2 with 56 layers: 2.916e+01
    12. Model squeezenet with 26 layers: 3.837e+01
    13. Model try with 3 layers: 1.013e+01
    14. Model resnet18 with 20 layers: 2.691e+01
    15. Model vgg16 with 13 layers: 3.248e+01
    16. Model densenet with 160 layers: 3.060e+01
    17. Model T5_m with 6 layers: 2.320e+01
    18. Model resnext50_32x4d with 53 layers: 3.161e+01
    19. Model BERT_m with 6 layers: 9.846e+00
    20. Model ALBERT_m with 5 layers: 1.502e+01

Final result with all models and fixed hardware = 27.942109327469552

144. Using architecture PEs=512, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 5.707e+01
    2. Model ncf_m with 12 layers: 7.119e+01
    3. Model mobilenet_v2 with 52 layers: 5.208e+01
    4. Model googlenet with 59 layers: 7.020e+01
    5. Model dlrmRMC1_m with 6 layers: 6.793e+01
    6. Model alexnet with 5 layers: 8.853e+01
    7. Model transformer with 96 layers: 3.925e+01
    8. Model resnet50 with 53 layers: 6.988e+01
    9. Model wide_resnet50 with 53 layers: 4.714e+01
    10. Model manual with 3 layers: 1.187e+02
    11. Model shufflenet_v2 with 56 layers: 6.541e+01
    12. Model squeezenet with 26 layers: 5.737e+01
    13. Model try with 3 layers: 2.479e+01
    14. Model resnet18 with 20 layers: 5.648e+01
    15. Model vgg16 with 13 layers: 7.552e+01
    16. Model densenet with 160 layers: 7.394e+01
    17. Model T5_m with 6 layers: 4.946e+01
    18. Model resnext50_32x4d with 53 layers: 6.191e+01
    19. Model BERT_m with 6 layers: 2.989e+01
    20. Model ALBERT_m with 5 layers: 2.210e+01

Final result with all models and fixed hardware = 60.739493240866054

145. Using architecture PEs=512, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 8.886e+01
    2. Model ncf_m with 12 layers: 8.976e+01
    3. Model mobilenet_v2 with 52 layers: 1.071e+02
    4. Model googlenet with 59 layers: 9.899e+01
    5. Model dlrmRMC1_m with 6 layers: 8.301e+01
    6. Model alexnet with 5 layers: 1.777e+02
    7. Model transformer with 96 layers: 8.768e+01
    8. Model resnet50 with 53 layers: 1.093e+02
    9. Model wide_resnet50 with 53 layers: 9.705e+01
    10. Model manual with 3 layers: 8.719e+01
    11. Model shufflenet_v2 with 56 layers: 9.557e+01
    12. Model squeezenet with 26 layers: 1.298e+02
    13. Model try with 3 layers: 2.392e+01
    14. Model resnet18 with 20 layers: 8.664e+01
    15. Model vgg16 with 13 layers: 1.314e+02
    16. Model densenet with 160 layers: 1.027e+02
    17. Model T5_m with 6 layers: 6.844e+01
    18. Model resnext50_32x4d with 53 layers: 1.082e+02
    19. Model BERT_m with 6 layers: 6.527e+01
    20. Model ALBERT_m with 5 layers: 6.755e+01

Final result with all models and fixed hardware = 99.67013808389713

146. Using architecture PEs=512, L1=32, L2=128
    1. Model mnasnet with 52 layers: 8.926e+00
    2. Model ncf_m with 12 layers: 5.195e+00
    3. Model mobilenet_v2 with 52 layers: 8.863e+00
    4. Model googlenet with 59 layers: 9.070e+00
    5. Model dlrmRMC1_m with 6 layers: 4.541e+00
    6. Model alexnet with 5 layers: 6.235e+00
    7. Model transformer with 96 layers: 3.931e+00
    8. Model resnet50 with 53 layers: 8.847e+00
    9. Model wide_resnet50 with 53 layers: 8.084e+00
    10. Model manual with 3 layers: 2.471e+00
    11. Model shufflenet_v2 with 56 layers: 9.536e+00
    12. Model squeezenet with 26 layers: 1.084e+01
    13. Model try with 3 layers: 4.976e+00
    14. Model resnet18 with 20 layers: 9.568e+00
    15. Model vgg16 with 13 layers: 1.022e+01
    16. Model densenet with 160 layers: 8.745e+00
    17. Model T5_m with 6 layers: 4.601e+00
    18. Model resnext50_32x4d with 53 layers: 8.608e+00
    19. Model BERT_m with 6 layers: 2.751e+00
    20. Model ALBERT_m with 5 layers: 7.407e+00

Final result with all models and fixed hardware = 8.057307205683358

147. Using architecture PEs=512, L1=32, L2=256
    1. Model mnasnet with 52 layers: 1.347e+01
    2. Model ncf_m with 12 layers: 1.151e+01
    3. Model mobilenet_v2 with 52 layers: 1.590e+01
    4. Model googlenet with 59 layers: 1.832e+01
    5. Model dlrmRMC1_m with 6 layers: 6.702e+00
    6. Model alexnet with 5 layers: 1.580e+01
    7. Model transformer with 96 layers: 7.590e+00
    8. Model resnet50 with 53 layers: 1.641e+01
    9. Model wide_resnet50 with 53 layers: 1.440e+01
    10. Model manual with 3 layers: 1.500e+01
    11. Model shufflenet_v2 with 56 layers: 1.512e+01
    12. Model squeezenet with 26 layers: 2.038e+01
    13. Model try with 3 layers: 5.599e+00
    14. Model resnet18 with 20 layers: 1.768e+01
    15. Model vgg16 with 13 layers: 1.481e+01
    16. Model densenet with 160 layers: 1.742e+01
    17. Model T5_m with 6 layers: 7.899e+00
    18. Model resnext50_32x4d with 53 layers: 1.527e+01
    19. Model BERT_m with 6 layers: 7.456e+00
    20. Model ALBERT_m with 5 layers: 1.005e+01

Final result with all models and fixed hardware = 14.817670893098782

148. Using architecture PEs=512, L1=32, L2=512
    1. Model mnasnet with 52 layers: 2.925e+01
    2. Model ncf_m with 12 layers: 2.053e+01
    3. Model mobilenet_v2 with 52 layers: 2.616e+01
    4. Model googlenet with 59 layers: 3.569e+01
    5. Model dlrmRMC1_m with 6 layers: 3.548e+01
    6. Model alexnet with 5 layers: 1.530e+01
    7. Model transformer with 96 layers: 1.648e+01
    8. Model resnet50 with 53 layers: 2.739e+01
    9. Model wide_resnet50 with 53 layers: 2.465e+01
    10. Model manual with 3 layers: 2.933e+01
    11. Model shufflenet_v2 with 56 layers: 3.504e+01
    12. Model squeezenet with 26 layers: 3.276e+01
    13. Model try with 3 layers: 3.137e+01
    14. Model resnet18 with 20 layers: 3.342e+01
    15. Model vgg16 with 13 layers: 3.939e+01
    16. Model densenet with 160 layers: 2.897e+01
    17. Model T5_m with 6 layers: 2.037e+01
    18. Model resnext50_32x4d with 53 layers: 2.785e+01
    19. Model BERT_m with 6 layers: 1.082e+01
    20. Model ALBERT_m with 5 layers: 1.729e+01

Final result with all models and fixed hardware = 27.639028209742893

149. Using architecture PEs=512, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 4.904e+01
    2. Model ncf_m with 12 layers: 6.864e+01
    3. Model mobilenet_v2 with 52 layers: 5.037e+01
    4. Model googlenet with 59 layers: 6.092e+01
    5. Model dlrmRMC1_m with 6 layers: 5.244e+01
    6. Model alexnet with 5 layers: 6.787e+01
    7. Model transformer with 96 layers: 4.377e+01
    8. Model resnet50 with 53 layers: 6.767e+01
    9. Model wide_resnet50 with 53 layers: 4.655e+01
    10. Model manual with 3 layers: 4.840e+01
    11. Model shufflenet_v2 with 56 layers: 5.947e+01
    12. Model squeezenet with 26 layers: 6.044e+01
    13. Model try with 3 layers: 5.162e+01
    14. Model resnet18 with 20 layers: 7.094e+01
    15. Model vgg16 with 13 layers: 6.662e+01
    16. Model densenet with 160 layers: 7.298e+01
    17. Model T5_m with 6 layers: 6.840e+01
    18. Model resnext50_32x4d with 53 layers: 6.097e+01
    19. Model BERT_m with 6 layers: 3.281e+01
    20. Model ALBERT_m with 5 layers: 2.431e+01

Final result with all models and fixed hardware = 59.02525852368065

150. Using architecture PEs=512, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 1.184e+02
    2. Model ncf_m with 12 layers: 8.176e+01
    3. Model mobilenet_v2 with 52 layers: 1.015e+02
    4. Model googlenet with 59 layers: 1.112e+02
    5. Model dlrmRMC1_m with 6 layers: 7.971e+01
    6. Model alexnet with 5 layers: 1.547e+02
    7. Model transformer with 96 layers: 7.526e+01
    8. Model resnet50 with 53 layers: 9.534e+01
    9. Model wide_resnet50 with 53 layers: 1.015e+02
    10. Model manual with 3 layers: 9.052e+01
    11. Model shufflenet_v2 with 56 layers: 1.062e+02
    12. Model squeezenet with 26 layers: 9.838e+01
    13. Model try with 3 layers: 1.030e+02
    14. Model resnet18 with 20 layers: 1.197e+02
    15. Model vgg16 with 13 layers: 8.836e+01
    16. Model densenet with 160 layers: 9.889e+01
    17. Model T5_m with 6 layers: 1.908e+01
    18. Model resnext50_32x4d with 53 layers: 8.696e+01
    19. Model BERT_m with 6 layers: 7.230e+01
    20. Model ALBERT_m with 5 layers: 5.520e+01

Final result with all models and fixed hardware = 97.12143177266576

151. Using architecture PEs=512, L1=64, L2=128
    1. Model mnasnet with 52 layers: 8.716e+00
    2. Model ncf_m with 12 layers: 3.695e+00
    3. Model mobilenet_v2 with 52 layers: 8.859e+00
    4. Model googlenet with 59 layers: 9.381e+00
    5. Model dlrmRMC1_m with 6 layers: 3.840e+00
    6. Model alexnet with 5 layers: 7.844e+00
    7. Model transformer with 96 layers: 4.120e+00
    8. Model resnet50 with 53 layers: 9.290e+00
    9. Model wide_resnet50 with 53 layers: 8.466e+00
    10. Model manual with 3 layers: 1.192e+01
    11. Model shufflenet_v2 with 56 layers: 8.894e+00
